组件ID,组件名,层级,编码问题,取值定义,研究编号,编码值,证据位置/引文,备注
B7,区组设计,设计层,若使用区组 / 分层，是否报告区组变量、划分依据、区组数及区内随机分配程序？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B8,拉丁方,设计层,使用被试内设计时，是否报告拉丁方构造方法、k 与被试组数对应关系及每被试接受的具体顺序？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B9,准实验设计,设计层,若无法随机分配，是否明确报告准实验类型、无法随机的原因、选择偏差来源及因果推断局限？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B10,被试内设计的适用条件,设计层,选择被试内设计时，是否论证处理可逆性与迁移对称性（或报告检验方法）？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
C1,随机化,质控层,是否报告具体随机分配方法、随机数生成工具及分配隐藏机制？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
C2,平衡,质控层,是否报告具体平衡层级、各顺序被试分配及迁移对称性前提论证？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
C3,恒定,质控层,是否报告哪些额外变量被恒定及其具体水平，并讨论对外部效度的限制？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
C4,匹配,质控层,若使用匹配，是否报告匹配变量、匹配方法、匹配后均衡性检验，并讨论回归假象？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
C5,纳入为变量,质控层,是否将已知混淆变量测量并作为区组因素或协变量纳入分析，并检验 ANCOVA 关键假设？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
C6,盲法,质控层,是否报告盲法类型、对谁施盲及盲法实施方式与成功检验？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
C7,平衡的层级,质控层,在完全平衡 / 拉丁方 / ABBA 三种层级中，是否明确报告所选层级、构造方法及对顺序效应形状的假设？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
D1,练习效应,偏差识别层,是否报告练习块安排、初期练习效应控制及试次位置是否作为协变量？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
D2,疲劳效应,偏差识别层,是否报告 session 时长、休息间隔及条件在时间上的分散方案？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
D3,延滞 / 迁移效应,偏差识别层,是否预期迁移效应并报告清洗期，或在迁移显著时讨论对处理效应估计的污染？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
D4,不对称迁移,偏差识别层,是否检验迁移对称性，若不对称是否讨论平衡失效及替代方案？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
D5,范围效应,偏差识别层,被试内绝对判断 / 量表评分类任务中，是否讨论范围效应风险并采用被试间对照或绝对锚？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
E1,位置 / 顺序偏差,偏差识别层,研究是否对刺激呈现顺序、选项顺序或被试内处理顺序做了随机化或反平衡，并报告了平衡方案细节？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
E2,默认赞同,偏差识别层,量表是否包含反向计分题，并检查正反向题一致性以识别默许偏差？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
E3,极端 / 中间反应倾向,偏差识别层,是否报告量表得分分布形态，并对跨群体反应风格差异做了校正或在讨论中说明其威胁？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
E4,需求特征,偏差识别层,是否使用掩饰情节/单盲程序，并报告事后访谈中被试对研究假设的推断比例？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
E5,实验者效应,偏差识别层,是否明确报告盲法实施层级（单/双/三盲）及主试/评分者培训与脚本化程度？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
E6,天花板 / 地板效应,偏差识别层,是否报告主要因变量描述统计以排查天花板/地板效应，并说明任务难度校准？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
E7,共同方法偏差,偏差识别层,是否说明共同方法偏差（CMB）的程序控制与统计检验，以及同源测量比例？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
F1,统计结论效度,质控层,是否报告样本量确定依据、效应量与置信区间、所有主要分析及多重性校正？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
F2,内部效度,质控层,是否报告随机分配程序与分配隐藏、各组基线等价性、被试流向与损耗处理？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
F3,构念效度,质控层,是否报告关键测量的信度与效度证据、自变量操纵检验及多操作化策略？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
F4,外部效度,质控层,是否报告样本来源与代表性、推广边界条件及跨样本/跨情境复现结果？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
G1,分析单位,设计层,是否明确报告处理分配与随机化的层级，并说明分析层级与之匹配、嵌套聚集结构如何处理？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
G2,随机效应,设计层,是否报告模型中哪些因子为随机效应及其结构，以使推断可推广到相应总体？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
G3,材料作为随机效应,设计层,是否将材料/项目作随机效应纳入分析，使结论可推广到材料总体？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
G4,统计功效,设计层,是否在设计阶段报告功效分析（目标功效、预期效应量、样本量推导），并在结果报告效应量及 CI？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
G5,研究者自由度,质控层,是否完整报告数据排除规则、全部因变量与条件、样本量决定方式，并区分验证性与探索性分析？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
G6,预先设定 / 预注册,质控层,是否在数据收集前预注册主要假设、样本量/停止规则、排除规则与分析计划，并区分验证性与探索性分析？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J1,位置偏差,偏差识别层,在使用 LLM 做选择、排序或作为裁判的实验中，报告是否识别并控制了候选位置（A/B 交换、正确答案位置随机化、示例顺序反平衡）引入的系统性偏差？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J2,冗长偏差,偏差识别层,"在使用 LLM 作为裁判或评估生成质量时，报告是否识别并控制了 ""长度被误当质量"" 的表面特征偏差？",1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J3,谄媚,偏差识别层,在涉及用户立场 / 反馈 / 纠错的对话式评估中，报告是否操纵并测量了模型附和用户先验（谄媚）这一反应偏差？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J4,自我偏好,偏差识别层,"当使用 LLM-as-judge 评估模型输出时，报告是否识别并控制了 ""裁判偏好本家族 / 自身生成"" 的自我增强偏差？",1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J5,少样本示例选择与排列偏差,偏差识别层,在使用 few-shot in-context learning 的实验中，报告是否识别并控制了示例选择、标签比例与排列顺序对测试输出的系统性影响？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J6,提示敏感性 / 脆弱性,质控层,报告是否将提示措辞 / 格式作为受控变量处理，通过版本化、敏感性消融与 dev/test 分离来控制提示工程这一隐性研究者自由度？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J7,长上下文信息位置效应 / 中间迷失,质控层,在长上下文 / RAG 实验中，报告是否通过操纵关键信息位置并控制排序策略来保证模型真正利用了全部上下文，而非仅凭窗口长度断言？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J8,温度与采样随机性,质控层,报告是否完整记录解码采样超参与种子，并通过多次采样与置信区间把 LLM 非确定性作为已知随机源纳入统计设计？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J9,重复与文本退化,质控层,报告是否把解码策略作为受控变量，记录解码方式与重复率，并在条件比较中保持解码策略恒定以避免退化与模型能力混淆？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J10,分词效应,质控层,在跨语言 / 跨脚本或多格式输入实验中，报告是否记录分词器版本并控制 token 数差异，以避免语言效应与分词效率混淆？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J11,测试集污染 / 数据泄漏,偏差识别层,报告是否识别并评估了预训练 / 微调数据与测试基准之间的重叠（污染），以避免把记忆复现误判为泛化能力？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J12,基准饱和,偏差识别层,报告是否评估所用基准是否接近天花板，并在饱和时改用连续指标或更难子集，以避免把噪声范围内的微小差异误报为显著提升？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J13,指令遵循,偏差识别层,在测量指令遵循时，报告是否用可机器判定标准（而非 LLM 裁判）并按约束类型拆分准确率，以可靠识别系统性指令违反？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J14,输出格式约束 / 结构化输出,偏差识别层,在要求结构化 / 格式约束输出的实验中，报告是否记录文法约束设置与格式合法率，并把格式失败与内容错误作为独立指标分开报告？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J15,越狱稳健性,偏差识别层,在评估模型安全性 / 对齐时，报告是否同时测量自然提示拒绝率与对抗提示攻击成功率，并区分这两个不同构念？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J16,LLM 作为被试的范式定位,设计层,在把 LLM 当作心理学 / 认知科学被试的实验中，报告是否明确界定 LLM 上测量的构念并论证其与人类同名构念的异同，而非默认人类结论可迁移？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J17,涌现能力争议与指标诱导假象,设计层,"在报告随模型规模 / 训练进展的能力曲线时，若宣称 ""涌现 / 突变""，报告是否同时展示连续指标与多 seed 曲线以排除非线性指标制造的假象？",1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J18,指标博弈与奖励过优化,设计层,在以代理指标（benchmark / 奖励模型 / LLM-judge）为优化目标的研究中，报告是否用独立 held-out 人类评估监控 overoptimization，并区分代理分数提升与真实泛化提升？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J19,评估可复现性与种子 / 检查点依赖,设计层,报告是否把 LLM 评估的种子 / 检查点 / snapshot 依赖作为设计约束，通过重复次数、置信区间、精确 snapshot 标识与配对检验来保证结果可复现？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
J20,多轮对话中的一致性衰减,设计层,在多轮对话实验中，报告是否按轮次独立 / 累积评分并控制上下文截断，以识别随轮次增加的指令遵循 / 一致性衰减？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
